Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type,predicted_price
Ready to move,1800,8611,3 BHK Apartment in Investors Guide Floor 9,Sector 57,Not approved by RERA,3,Apartment,15502479.470146485
Under Construction,1692,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment,27900000.000000034
Under Construction,2600,11269,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment,29313545.658551306
Under Construction,645,4077,3 BHK Apartment in Mahira Homes 95,Sector 95,Approved by RERA,3,Apartment,2629379.283223497
Ready to move,2120,5896,3 BHK Apartment in Bestech Park View Sanskruti,Sector 92,Not approved by RERA,3,Apartment,12500992.123692622
Ready to move,1735,8645,3 BHK Apartment in Vatika Gurgaon 21,Sector 83,Not approved by RERA,3,Apartment,14988908.182465162
Ready to move,4210,7814,4 BHK Apartment in Bestech Park View Grand Spa,Sector 81,Not approved by RERA,4,Apartment,33093982.779917255
Ready to move,2450,6489,3 BHK Apartment in Swaraj Homes Chandra Apartments,Sector 55,Not approved by RERA,3,Apartment,15832456.938662115
Under Construction,1211,7623,2 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,2,Apartment,9249408.309090052
Ready to move,1292,12222,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,15707402.320726976
Ready to move,1263,12222,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment,15399459.153386496
Under Construction,2100,220000,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment,461955577.68978035
Under Construction,3680,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,68199999.99999644
Under Construction,2004,9586,3 BHK Apartment in Godrej Prive,Sector 106,Approved by RERA,3,Apartment,21330948.03236808
Under Construction,3800,19736,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment,74911394.63503419
Ready to move,2864,21500,4 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,4,Apartment,61417741.10466483
Ready to move,1700,8529,3 BHK Independent Floor,Sector 46,Not approved by RERA,3,Plot,14758823.942201527
Under Construction,2745,17486,4 BHK Independent Floor in Emaar Emerald Hill,Sector 65,Approved by RERA,4,Floor,47995960.458677694
Ready to move,1632,21000,2 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,2,Apartment,34199999.99999743
Ready to move,1271,12195,3 BHK Independent Floor in Vatika Primrose Floors,Sector 82,Not approved by RERA,3,Floor,15472537.46266306
Ready to move,3112,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,68404996.53107765
New,1259,14204,Residential Plot in BPTP District 6 Block L,Sector 84,Approved by RERA,6,Plot,17752823.601074066
Under Construction,1365,8424,2 BHK Apartment in Assotech Blith,Sector 99,Approved by RERA,2,Apartment,11468223.10968655
Under Construction,508,4098,2 BHK Apartment in Mahira Homes 95,Sector 95,Approved by RERA,2,Apartment,2081616.4818087956
Ready to move,1877,14184,3 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,3,Apartment,26599999.999998983
Ready to move,3114,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,68485490.94255626
Under Construction,642,4004,3 BHK Apartment in Mahira Homes,Sector 68,Approved by RERA,3,Apartment,2568170.183969307
Ready to move,2598,10775,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment,27983236.271313325
Ready to move,2000,17800,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment,35597994.41738658
Ready to move,4500,11666,4 BHK Independent Floor in LUXURY floorsss,DLF CITY PHASE I,Not approved by RERA,4,Floor,52505821.00113991
Under Construction,9838,11000,5 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,5,Apartment,98572887.70949045
Under Construction,1145,14000,2 BHK Apartment in Signature Global City 92 Phase 2,Sector 92,Approved by RERA,2,Apartment,16167340.946569776
Under Construction,1371,33406,4 BHK Apartment in DLF Independent Floors At Dlf City Phase III,DLF Phase 3,Approved by RERA,4,Apartment,45768197.43355713
Ready to move,1200,4000,3 BHK Independent Floor,Sector 5,Not approved by RERA,3,Plot,4799999.999999974
Ready to move,1565,6070,2 BHK Apartment in Bestech Park View Residency,Sector 3,Not approved by RERA,2,Apartment,9456982.91618721
Ready to move,1410,14184,2 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,2,Apartment,19900000.000001214
Under Construction,2250,25725,3 BHK Apartment in Birla Navya Avik Phase 1,Sector 63A,Approved by RERA,3,Apartment,58854898.46348641
Ready to move,2000,11500,3 BHK Apartment in Bargainer Ultra Premium Floors,DLF Phase 2,Not approved by RERA,3,Apartment,22961434.58700839
Ready to move,3154,17500,4 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,4,Apartment,55070249.07937219
Under Construction,2553,11250,4 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,4,Apartment,28700000.000000417
Under Construction,3100,13709,4 BHK Independent Floor in Reputed Builder Emerald Hills Ivory,Sector 65,Not approved by RERA,4,Floor,42659735.5860726
Ready to move,4500,13333,4 BHK Independent Floor in Today Developer 6,DLF Phase 2,Not approved by RERA,4,Floor,59920840.65600015
Ready to move,4613,22000,4 BHK Apartment in Pioneer Araya,Sector 62,Not approved by RERA,4,Apartment,101391234.97485311
Ready to move,850,4706,2 BHK Apartment in Krishna Homes,Sector 4,Not approved by RERA,2,Apartment,3891550.5280338046
Under Construction,4503,42735,5 BHK Apartment in Tulip Monsella,Sector 53,Approved by RERA,5,Apartment,192399999.9999967
Under Construction,3360,13650,4 BHK Apartment in Vatika Sovereign Park,Sector 99,Approved by RERA,4,Apartment,45573699.51532425
Under Construction,2766,18558,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment,51299999.999996066
Under Construction,1262,11886,3 BHK Apartment in Ashiana Anmol Phase III And Plaza Ph II,Sector 33 Sohna,Approved by RERA,3,Apartment,14996454.454499755
Ready to move,2250,14000,6 BHK Villa in BPTP Astaire Garden Floors,Sector 70A,Not approved by RERA,6,Villa,31546207.249418974
Ready to move,2408,10900,3 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,3,Apartment,26233996.27979007
Under Construction,2283,16500,5 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,5,Apartment,37599999.99999917
Under Construction,1605,9700,2 BHK Apartment in Vatika Vatika Seven Elements,Sector 89A,Approved by RERA,2,Apartment,15499999.999999491
Ready to move,2100,17000,3 BHK Apartment in Puri Diplomatic Residences,Sector 111,Not approved by RERA,3,Apartment,35408781.6709445
Under Construction,4422,11000,4 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,4,Apartment,49308070.23214197
Ready to move,1998,14184,4 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,4,Apartment,28300996.500536226
Under Construction,1352,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment,22299999.99999874
Under Construction,745,3524,3 BHK Apartment in Pyramid Urban Homes 2,Sector 86,Approved by RERA,3,Apartment,2631509.6165940566
Under Construction,1269,6200,2 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,Approved by RERA,2,Apartment,7871040.572287916
Ready to move,2875,12173,4 BHK Apartment in Conscient Heritage Max,Sector 102,Not approved by RERA,4,Apartment,34994837.61432713
Under Construction,554,3689,2 BHK Apartment in Breez Global Hill View,Sector 11 Sohna,Approved by RERA,2,Apartment,2086545.6401541424
Ready to move,2065,4358,6 BHK Independent House,Sector 3A,Not approved by RERA,6,Plot,8766902.220545296
Ready to move,1381,19913,2 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,2,Apartment,27500000.000000406
Ready to move,1262,10221,3 BHK Apartment in Ashiana Anmol,Sector 33 Sohna,Not approved by RERA,3,Apartment,12832015.336305814
Under Construction,2260,15000,3 BHK Apartment in M3M Golf Hills,Sector 79,Approved by RERA,3,Apartment,33905592.14365058
Under Construction,586,4000,2 BHK Apartment in Signature Global The Millennia I,Sector 37D,Approved by RERA,2,Apartment,2355522.388267878
Under Construction,3400,10588,4 BHK Independent Floor in Anant Raj Estate Plots,Sector 63,Approved by RERA,4,Floor,35999339.35267969
Ready to move,3322,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,53100998.1308588
Ready to move,2300,15217,4 BHK Apartment in Unitown Trehan Luxury Floor 63,Sector 63,Not approved by RERA,4,Apartment,34988943.91686671
Ready to move,2103,14139,3 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,3,Apartment,29773923.5864966
Ready to move,1600,16862,3 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,3,Floor,26956406.95370019
Ready to move,2512,14000,3 BHK Independent Floor in BPTP Astaire Garden Floors,Sector 70A,Not approved by RERA,3,Floor,35044113.20526569
Ready to move,3520,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,56282859.61445475
Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,3,Apartment,28000000.000000887
Under Construction,3150,7936,4 BHK Apartment in Dharma Constructions 67,Sector 67,Approved by RERA,4,Apartment,24973199.16148747
Ready to move,2700,6111,3 BHK Apartment in Spaze Privvy The Address,Sector 93,Not approved by RERA,3,Apartment,16378353.58762479
Under Construction,3577,18000,4 BHK Apartment in DLF Privana,Sector 77,Approved by RERA,4,Apartment,64299999.9999965
Ready to move,1108,20801,3 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,3,Apartment,22994150.825696748
Ready to move,1000,3200,1 BHK Apartment in DLF Beverly Park,Sector 25,Not approved by RERA,1,Apartment,3043705.8003900275
Ready to move,3395,16500,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment,56019904.08030274
Under Construction,2937,14027,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,41533308.79428981
Ready to move,2722,13776,4 BHK Independent Floor,Sector 54,Not approved by RERA,4,Plot,37479836.64881031
Under Construction,1335,9479,3 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,3,Apartment,12599960.931553172
Under Construction,1371,15576,3 BHK Apartment in Whiteland Blissville,Sector 76,Approved by RERA,3,Apartment,21249993.422312226
Ready to move,3449,10900,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,37525818.28582891
Ready to move,3395,20029,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment,67955715.82191467
Under Construction,3890,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,72099999.99999453
Ready to move,2450,8571,4 BHK Apartment in 4S Aradhya Homes Apartment,Sector 67,Not approved by RERA,4,Apartment,21145241.87982484
Under Construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment,54999999.99999715
Under Construction,1720,5930,3 BHK Apartment in Ramprastha Primera,Sector 37D,Approved by RERA,3,Apartment,10960897.914553253
Under Construction,1440,7600,3 BHK Apartment in Signature Global City 37D,Sector 37D,Approved by RERA,3,Apartment,10903350.621140836
Ready to move,2225,7640,4 BHK Apartment in DLF Regal Gardens,Sector 90,Not approved by RERA,4,Apartment,16963597.857769936
Ready to move,1699,10774,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment,18295488.216215346
Ready to move,1800,14444,3 BHK Independent Floor in Anant Raj The Estate Floors,Sector 63,Not approved by RERA,3,Floor,25937310.03455697
Ready to move,2688,25000,4 BHK Apartment in Sweta Estates Central Park Phase 1,Atta,Not approved by RERA,4,Apartment,66262514.24689112
Ready to move,2279,11500,3 BHK Apartment in Pioneer Presidia,Sector 62,Not approved by RERA,3,Apartment,26058045.72035823
Ready to move,1960,29941,3 BHK Apartment in Central Park Resorts,Sector 48,Not approved by RERA,3,Apartment,58541583.62401897
Under Construction,3505,19230,4 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,4,Apartment,67400000.00000645
Ready to move,2343,12419,3 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,3,Apartment,28892034.45667908
Ready to move,2217,21216,3 BHK Apartment in TATA TATA La Vida,Sector 113,Not approved by RERA,3,Apartment,47038163.44715687
Ready to move,2370,37977,2 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,2,Apartment,89327668.90996486
Under Construction,2597,20265,4 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,4,Apartment,52599999.99999582
Ready to move,2965,15514,4 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,4,Apartment,45665988.74145813
Under Construction,2170,13956,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment,30056805.57893968
Ready to move,1750,12000,3 BHK Apartment in ATS Tourmaline,Sector 109,Not approved by RERA,3,Apartment,20943761.963549733
Under Construction,696,3567,2 BHK Apartment in Arete Our Homes 3,Sector 6 Sohna,Approved by RERA,2,Apartment,2481906.831673288
Under Construction,2400,13000,3 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,3,Apartment,31199999.999998294
Ready to move,2700,12962,4 BHK Apartment in Ansal Sushant Lok I,Sector 43,Not approved by RERA,4,Apartment,34906427.04675256
Under Construction,1704,11737,3 BHK Apartment in Tulip Yellow,Sector 69,Approved by RERA,3,Apartment,19994743.34237923
Ready to move,3500,17085,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,59679697.23052388
Ready to move,6450,22000,5 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,5,Apartment,141851785.09484476
Ready to move,2285,13566,3 BHK Apartment in Microtek Greenburg,Sector 86,Not approved by RERA,3,Apartment,30996727.457908243
Ready to move,9198,15220,5 BHK Independent House in Kothi,DLF Phase 3,Not approved by RERA,5,House,131273515.75078121
Under Construction,1205,18257,3 BHK Apartment in Ashiana Amarah,Sector 93,Approved by RERA,3,Apartment,21933542.3696164
Ready to move,3850,15000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,57650754.77323409
Ready to move,1682,20005,3 BHK Apartment in DLF Wellington Estate,Sector 53,Not approved by RERA,3,Apartment,33528116.992817365
Under Construction,765,8104,2 BHK Independent House,Sector 104,Not approved by RERA,2,Plot,6214648.011117971
Ready to move,3110,23000,4 BHK Apartment in Vipul Belmonte,Sector 53,Not approved by RERA,4,Apartment,71413193.4908415
Under Construction,1400,12857,2 BHK Apartment in Godrej Air,Sector 85,Approved by RERA,2,Apartment,17987741.633842044
Under Construction,3762,16151,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment,60699999.9999949
Ready to move,1811,9939,3 BHK Apartment in BPTP Park Generation,Sector 37D,Not approved by RERA,3,Apartment,18003014.84954005
Ready to move,2100,9485,4 BHK Independent Floor in CS Roseate 63,Sector 63,Not approved by RERA,4,Floor,20053723.154419433
Under Construction,2600,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment,42900000.00000124
Ready to move,3129,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,68989825.34155059
Ready to move,5036,22234,5 BHK Villa in Sobha International City Presidential Villa,Sector 109,Not approved by RERA,5,Villa,112289183.52905644
Ready to move,2003,7488,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment,14997488.461425396
Under Construction,1929,6894,3 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Approved by RERA,3,Apartment,13282283.680056639
Ready to move,2700,8518,4 BHK Independent Floor in GC Ultra Modern Luxurious Floor,Sector 56,Not approved by RERA,4,Floor,23112468.282509655
Ready to move,1711,20455,3 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,3,Apartment,35000000.000002004
Ready to move,5100,10900,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,55514929.81799631
Ready to move,1390,20200,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment,28000000.000000887
Ready to move,6450,10900,5 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,5,Apartment,70303434.50599825
Ready to move,3090,18500,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Not approved by RERA,3,Apartment,57093884.35538156
Under Construction,5082,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,94300000.00000383
Ready to move,1600,16862,3 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,3,Floor,26956406.95370019
Ready to move,1829,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,36899999.99999862
Under Construction,1450,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment,9276869.137583492
Resale,972,15000,Residential Plot in M2K Olive Greens,Sector 104,Approved by RERA,2,Plot,14489024.813553324
Under Construction,1665,20000,3 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,3,Apartment,33300000.000002094
Under Construction,1988,41274,4 BHK Apartment in DLF The Grove,Sector 54,Approved by RERA,4,Apartment,82000000.0000035
Under Construction,2217,11231,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Approved by RERA,3,Apartment,24885222.11977984
Ready to move,1998,14184,4 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,4,Apartment,28300996.500536226
Under Construction,2077,21932,3 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,3,Apartment,45500000.00000333
Ready to move,2700,11111,4 BHK Independent Floor in Today Developer 1,DLF Phase 2,Not approved by RERA,4,Floor,29999958.10753576
Under Construction,1243,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment,7953159.680573124
Ready to move,2367,12040,3 BHK Independent Floor,Sector 28,Not approved by RERA,3,Plot,28509125.07522051
Ready to move,3192,6892,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment,21826816.460123874
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,4500000.000000258
Ready to move,2875,9043,4 BHK Apartment in Indiabulls Centrum Park,Sector 103,Not approved by RERA,4,Apartment,26001189.776610196
Ready to move,1250,7200,3 BHK Independent Floor in BPTP Astaire Garden Plots,Sector 70A,Not approved by RERA,3,Floor,9000989.105150986
Under Construction,2080,12019,3 BHK Apartment in Adani Brahma Samsara Vilasa,Sector 63,Approved by RERA,3,Apartment,25000000.000000942
Ready to move,1000,4000,2 BHK Independent Floor in Signature Global Park III,Sector 36 Sohna,Not approved by RERA,2,Floor,4006123.129079473
Under Construction,1250,22000,1 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,1,Apartment,27500000.000000406
Ready to move,1550,5500,3 BHK Apartment in The Antriksh Heights,Sector 84,Not approved by RERA,3,Apartment,8502113.881240156
Ready to move,1400,7857,3 BHK Apartment in Rail vihar sector 57Gurgaon,Sector 57,Not approved by RERA,3,Apartment,10969652.969641859
Under Construction,4038,18558,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,74900000.00000502
Ready to move,240,8333,1 RK Studio Apartment in Unitech EWS Buildings,Sector 49,Not approved by RERA,1,Apartment,2013416.7995482816
Ready to move,2650,10188,4 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,4,Floor,27012333.38672502
Ready to move,2045,15990,3 BHK Apartment in Ireo Skyon,Sector 60,Not approved by RERA,3,Apartment,32788039.43213159
Ready to move,2003,6287,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment,12571570.494476002
Under Construction,3125,22500,4 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,4,Apartment,70300000.00000422
Ready to move,9419,74323,5 BHK Apartment in DLF Camellias,Sector 42,Not approved by RERA,5,Apartment,699437281.0619192
Under Construction,2600,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment,42900000.00000124
Under Construction,1440,4878,3 BHK Apartment in Signature Global Global Park 2 And 3,Sector 36 Sohna,Approved by RERA,3,Apartment,7008199.594130115
Under Construction,3978,20110,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment,79900000.00000505
Under Construction,1855,15363,3 BHK Apartment in Godrej Meridien,Sector 106,Approved by RERA,3,Apartment,28553467.77384749
Ready to move,1700,16200,3 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,3,Apartment,27494383.989546034
Under Construction,5223,18558,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,96899999.99999642
Under Construction,1642,12000,3 BHK Apartment in M3M Antalya Hills,Sector 79,Approved by RERA,3,Apartment,19710717.415745545
Ready to move,2750,20801,4 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,4,Apartment,57200000.00000078
Ready to move,4347,8051,5 BHK Independent House,Sector 57,Not approved by RERA,5,Plot,35127730.84892782
Under Construction,1150,12173,3 BHK Independent House,Sector 48,Not approved by RERA,3,Plot,14002815.360816658
Ready to move,903,8922,2 BHK Independent Floor in Vatika Emilia Floors,Sector 82,Not approved by RERA,2,Floor,7836996.613447858
Ready to move,2300,8695,3 BHK Independent Floor in Reputed Builder HUDA Colony,Sector 46,Not approved by RERA,3,Floor,20001493.84302376
Under Construction,2945,22500,4 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,4,Apartment,66200000.00000405
Ready to move,1270,10000,2 BHK Apartment in M3M Flora 68,Sector 68,Not approved by RERA,2,Apartment,12601175.993041983
Ready to move,1600,9700,3 BHK Apartment in Vatika Primrose Floors,Sector 82,Not approved by RERA,3,Apartment,15535341.20147514
Ready to move,2000,6750,3 BHK Independent Floor,Sector 57,Not approved by RERA,3,Plot,13553774.053443963
Ready to move,1990,3075,3 BHK Apartment in Raheja Navodaya,Sector 92,Not approved by RERA,3,Apartment,6389691.177611524
Under Construction,1420,14750,2 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,2,Apartment,20899999.99999893
Ready to move,1600,7500,3 BHK Independent Floor,Sector 46,Not approved by RERA,3,Plot,12009031.753268255
Ready to move,865,9320,2 BHK Apartment in Pareena Mi Casa,Sector 68,Not approved by RERA,2,Apartment,8276014.997845885
Ready to move,2985,15000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,44656962.43399761
Ready to move,6171,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,135699999.99999464
Under Construction,2900,20000,4 BHK Apartment in DLF Platinum Residences,DLF Phase 4,Approved by RERA,4,Apartment,58476372.26788934
Under Construction,1205,9130,3 BHK Apartment in Signature Global City 81 Phase 2,Sector 81,Approved by RERA,3,Apartment,11072719.912558692
Ready to move,2531,15000,3 BHK Apartment in Unitech The Close South,Sector 50,Not approved by RERA,3,Apartment,37566400.31403996
Under Construction,2510,21000,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment,52699999.99999906
Under Construction,1855,10512,3 BHK Apartment in Godrej Meridien,Sector 106,Approved by RERA,3,Apartment,19201751.09109578
Ready to move,3505,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,77092935.98981264
