Price,Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type,Log_Price
11500000.0,Under Construction,1365,8424,2 BHK Apartment in Assotech Blith,Sector 99,Approved by RERA,2,Apartment,16.257857680289998
2082000.0,Under Construction,508,4098,2 BHK Apartment in Mahira Homes 95,Sector 95,Approved by RERA,2,Apartment,14.548840008464333
26600000.0,Ready to move,1877,14184,3 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,3,Apartment,17.096421811345913
68500000.0,Ready to move,3114,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,18.042344317830995
2566000.0,Under Construction,642,4004,3 BHK Apartment in Mahira Homes,Sector 68,Approved by RERA,3,Apartment,14.757859213869256
27900000.0,Ready to move,2598,10775,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment,17.14413728263389
35600000.0,Ready to move,2000,17800,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment,17.387856223912145
52500000.0,Ready to move,4500,11666,4 BHK Independent Floor in LUXURY floorsss,DLF CITY PHASE I,Not approved by RERA,4,Floor,17.77632374660947
108200000.0,Under Construction,9838,11000,5 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,5,Apartment,18.4994919336188
16000000.0,Under Construction,1145,14000,2 BHK Apartment in Signature Global City 92 Phase 2,Sector 92,Approved by RERA,2,Apartment,16.588099342704055
45800000.0,Under Construction,1371,33406,4 BHK Apartment in DLF Independent Floors At Dlf City Phase III,DLF Phase 3,Approved by RERA,4,Apartment,17.639794670918473
4800000.0,Ready to move,1200,4000,3 BHK Independent Floor,Sector 5,Not approved by RERA,3,Plot,15.38412668421143
9500000.0,Ready to move,1565,6070,2 BHK Apartment in Bestech Park View Residency,Sector 3,Not approved by RERA,2,Apartment,16.066802461833923
19900000.0,Ready to move,1410,14184,2 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,2,Apartment,16.806230339945976
57800000.0,Under Construction,2250,25725,3 BHK Apartment in Birla Navya Avik Phase 1,Sector 63A,Approved by RERA,3,Apartment,17.872499350943645
23000000.0,Ready to move,2000,11500,3 BHK Apartment in Bargainer Ultra Premium Floors,DLF Phase 2,Not approved by RERA,3,Apartment,16.951004817371683
55100000.0,Ready to move,3154,17500,4 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,4,Apartment,17.824660292271965
28700000.0,Under Construction,2553,11250,4 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,4,Apartment,17.172407715573055
42500000.0,Under Construction,3100,13709,4 BHK Independent Floor in Reputed Builder Emerald Hills Ivory,Sector 65,Not approved by RERA,4,Floor,17.565014657424058
60000000.0,Ready to move,4500,13333,4 BHK Independent Floor in Today Developer 6,DLF Phase 2,Not approved by RERA,4,Floor,17.909855136853043
101400000.0,Ready to move,4613,22000,4 BHK Apartment in Pioneer Araya,Sector 62,Not approved by RERA,4,Apartment,18.43458365898329
4000000.0,Ready to move,850,4706,2 BHK Apartment in Krishna Homes,Sector 4,Not approved by RERA,2,Apartment,15.201805169084134
192399999.99999997,Under Construction,4503,42735,5 BHK Apartment in Tulip Monsella,Sector 53,Approved by RERA,5,Apartment,19.075087101393386
45800000.0,Under Construction,3360,13650,4 BHK Apartment in Vatika Sovereign Park,Sector 99,Approved by RERA,4,Apartment,17.639794670918473
51300000.0,Under Construction,2766,18558,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment,17.753201329634177
15000000.0,Under Construction,1262,11886,3 BHK Apartment in Ashiana Anmol Phase III And Plaza Ph II,Sector 33 Sohna,Approved by RERA,3,Apartment,16.52356082573315
31500000.0,Ready to move,2250,14000,6 BHK Villa in BPTP Astaire Garden Floors,Sector 70A,Not approved by RERA,6,Villa,17.265498135541893
26200000.0,Ready to move,2408,10900,3 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,3,Apartment,17.081270006899263
37600000.0,Under Construction,2283,16500,5 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,5,Apartment,17.442514634955867
15500000.0,Under Construction,1605,9700,2 BHK Apartment in Vatika Vatika Seven Elements,Sector 89A,Approved by RERA,2,Apartment,16.5563506464056
35700000.0,Ready to move,2100,17000,3 BHK Apartment in Puri Diplomatic Residences,Sector 111,Not approved by RERA,3,Apartment,17.390661274761072
48600000.0,Under Construction,4422,11000,4 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,4,Apartment,17.699134109446852
28300000.0,Ready to move,1998,14184,4 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,4,Apartment,17.158372397949154
22300000.0,Under Construction,1352,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment,16.920097281273396
2626000.0,Under Construction,745,3524,3 BHK Apartment in Pyramid Urban Homes 2,Sector 86,Approved by RERA,3,Apartment,14.780972714652117
7867000.0,Under Construction,1269,6200,2 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,Approved by RERA,2,Apartment,15.878187480424629
35000000.0,Ready to move,2875,12173,4 BHK Apartment in Conscient Heritage Max,Sector 102,Not approved by RERA,4,Apartment,17.370858648025116
2044000.0000000002,Under Construction,554,3689,2 BHK Apartment in Breez Global Hill View,Sector 11 Sohna,Approved by RERA,2,Apartment,14.530419719542403
9000000.0,Ready to move,2065,4358,6 BHK Independent House,Sector 3A,Not approved by RERA,6,Plot,16.012735246411598
27500000.0,Ready to move,1381,19913,2 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,2,Apartment,17.129696599000436
12900000.0,Ready to move,1262,10221,3 BHK Apartment in Ashiana Anmol,Sector 33 Sohna,Not approved by RERA,3,Apartment,16.372737946851277
33900000.0,Under Construction,2260,15000,3 BHK Apartment in M3M Golf Hills,Sector 79,Approved by RERA,3,Apartment,17.338925601849205
2344000.0,Under Construction,586,4000,2 BHK Apartment in Signature Global The Millennia I,Sector 37D,Approved by RERA,2,Apartment,14.667369856300109
36000000.0,Under Construction,3400,10588,4 BHK Independent Floor in Anant Raj Estate Plots,Sector 63,Approved by RERA,4,Floor,17.399029524198163
53099999.99999999,Ready to move,3322,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,17.78768750504456
35000000.0,Ready to move,2300,15217,4 BHK Apartment in Unitown Trehan Luxury Floor 63,Sector 63,Not approved by RERA,4,Apartment,17.370858648025116
29700000.000000004,Ready to move,2103,14139,3 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,3,Apartment,17.206657637442962
26900000.0,Ready to move,1600,16862,3 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,3,Floor,17.10763688174679
35100000.0,Ready to move,2512,14000,3 BHK Independent Floor in BPTP Astaire Garden Floors,Sector 70A,Not approved by RERA,3,Floor,17.373711716926124
56300000.0,Ready to move,3520,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,17.846205110871907
28000000.0,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,3,Apartment,17.147715103853763
25000000.0,Under Construction,3150,7936,4 BHK Apartment in Dharma Constructions 67,Sector 67,Approved by RERA,4,Apartment,17.034386422832473
16500000.0,Ready to move,2700,6111,3 BHK Apartment in Spaze Privvy The Address,Sector 93,Not approved by RERA,3,Apartment,16.61887099947687
64300000.0,Under Construction,3577,18000,4 BHK Apartment in DLF Privana,Sector 77,Approved by RERA,4,Apartment,17.979070204759946
23000000.0,Ready to move,1108,20801,3 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,3,Apartment,16.951004817371683
3200000.0,Ready to move,1000,3200,1 BHK Apartment in DLF Beverly Park,Sector 25,Not approved by RERA,1,Apartment,14.978661680269907
56000000.0,Ready to move,3395,16500,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment,17.840862266556567
41200000.0,Under Construction,2937,14027,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,17.5339488385916
37500000.0,Ready to move,2722,13776,4 BHK Independent Floor,Sector 54,Not approved by RERA,4,Plot,17.439851517607305
12600000.0,Under Construction,1335,9479,3 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,3,Apartment,16.349207451286784
21300000.0,Under Construction,1371,15576,3 BHK Apartment in Whiteland Blissville,Sector 76,Approved by RERA,3,Apartment,16.87421767762801
37500000.0,Ready to move,3449,10900,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,17.439851517607305
68000000.0,Ready to move,3395,20029,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment,18.035018277846262
72100000.0,Under Construction,3890,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,18.0935646161248
21000000.0,Ready to move,2450,8571,4 BHK Apartment in 4S Aradhya Homes Apartment,Sector 67,Not approved by RERA,4,Apartment,16.860033043306743
55000000.0,Under Construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment,17.822843761378564
10200000.0,Under Construction,1720,5930,3 BHK Apartment in Ramprastha Primera,Sector 37D,Approved by RERA,3,Apartment,16.13789837629371
10900000.0,Under Construction,1440,7600,3 BHK Apartment in Signature Global City 37D,Sector 37D,Approved by RERA,3,Apartment,16.204273438942487
17000000.0,Ready to move,2225,7640,4 BHK Apartment in DLF Regal Gardens,Sector 90,Not approved by RERA,4,Apartment,16.648723960844016
18300000.0,Ready to move,1699,10774,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment,16.722411672456456
26000000.0,Ready to move,1800,14444,3 BHK Independent Floor in Anant Raj The Estate Floors,Sector 63,Not approved by RERA,3,Floor,17.073607134447293
67200000.0,Ready to move,2688,25000,4 BHK Apartment in Sweta Estates Central Park Phase 1,Atta,Not approved by RERA,4,Apartment,18.02318382037433
26200000.0,Ready to move,2279,11500,3 BHK Apartment in Pioneer Presidia,Sector 62,Not approved by RERA,3,Apartment,17.081270006899263
58600000.0,Ready to move,1960,29941,3 BHK Apartment in Central Park Resorts,Sector 48,Not approved by RERA,3,Apartment,17.886245271612086
67400000.0,Under Construction,3505,19230,4 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,4,Apartment,18.02615559071933
29100000.0,Ready to move,2343,12419,3 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,3,Apartment,17.186248766505983
47000000.0,Ready to move,2217,21216,3 BHK Apartment in TATA TATA La Vida,Sector 113,Not approved by RERA,3,Apartment,17.665658180950928
90000000.0,Ready to move,2370,37977,2 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,2,Apartment,18.31532023940565
52600000.0,Under Construction,2597,20265,4 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,4,Apartment,17.778226696719344
46000000.0,Ready to move,2965,15514,4 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,4,Apartment,17.6441519761925
30200000.0,Under Construction,2170,13956,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment,17.22335251545768
21000000.0,Ready to move,1750,12000,3 BHK Apartment in ATS Tourmaline,Sector 109,Not approved by RERA,3,Apartment,16.860033043306743
2482000.0,Under Construction,696,3567,2 BHK Apartment in Arete Our Homes 3,Sector 6 Sohna,Approved by RERA,2,Apartment,14.724575647647494
31200000.0,Under Construction,2400,13000,3 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,3,Apartment,17.25592868483099
35000000.0,Ready to move,2700,12962,4 BHK Apartment in Ansal Sushant Lok I,Sector 43,Not approved by RERA,4,Apartment,17.370858648025116
20000000.0,Under Construction,1704,11737,3 BHK Apartment in Tulip Yellow,Sector 69,Approved by RERA,3,Apartment,16.811242881518265
59800000.00000001,Ready to move,3500,17085,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,17.906516235643267
141900000.0,Ready to move,6450,22000,5 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,5,Apartment,18.77063314917749
31000000.0,Ready to move,2285,13566,3 BHK Apartment in Microtek Greenburg,Sector 86,Not approved by RERA,3,Apartment,17.249497794707484
140000000.0,Ready to move,9198,15220,5 BHK Independent House in Kothi,DLF Phase 3,Not approved by RERA,5,House,18.757152987716434
22000000.0,Under Construction,1205,18257,3 BHK Apartment in Ashiana Amarah,Sector 93,Approved by RERA,3,Apartment,16.906553056777135
57699999.99999999,Ready to move,3850,15000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,17.87076774880935
33600000.0,Ready to move,1682,20005,3 BHK Apartment in DLF Wellington Estate,Sector 53,Not approved by RERA,3,Apartment,17.330036654695338
6200000.0,Under Construction,765,8104,2 BHK Independent House,Sector 104,Not approved by RERA,2,Plot,15.64006001130563
71500000.0,Ready to move,3110,23000,4 BHK Apartment in Vipul Belmonte,Sector 53,Not approved by RERA,4,Apartment,18.08520802165025
18000000.0,Under Construction,1400,12857,2 BHK Apartment in Godrej Air,Sector 85,Approved by RERA,2,Apartment,16.705882371415992
60700000.0,Under Construction,3762,16151,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment,17.921454272504192
18000000.0,Ready to move,1811,9939,3 BHK Apartment in BPTP Park Generation,Sector 37D,Not approved by RERA,3,Apartment,16.705882371415992
19900000.0,Ready to move,2100,9485,4 BHK Independent Floor in CS Roseate 63,Sector 63,Not approved by RERA,4,Floor,16.806230339945976
42900000.0,Under Construction,2600,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment,17.57438240720827
68800000.0,Ready to move,3129,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,18.046714317438457
111900000.0,Ready to move,5036,22234,5 BHK Villa in Sobha International City Presidential Villa,Sector 109,Not approved by RERA,5,Villa,18.533116182218706
15000000.0,Ready to move,2003,7488,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment,16.52356082573315
13300000.0,Under Construction,1929,6894,3 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Approved by RERA,3,Apartment,16.40327466837995
23000000.0,Ready to move,2700,8518,4 BHK Independent Floor in GC Ultra Modern Luxurious Floor,Sector 56,Not approved by RERA,4,Floor,16.951004817371683
35000000.0,Ready to move,1711,20455,3 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,3,Apartment,17.370858648025116
55500000.0,Ready to move,5100,10900,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,17.83189359673468
28000000.0,Ready to move,1390,20200,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment,17.147715103853763
70300000.0,Ready to move,6450,10900,5 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,5,Apartment,18.068282371005644
57100000.0,Ready to move,3090,18500,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Not approved by RERA,3,Apartment,17.860314692139372
94300000.0,Under Construction,5082,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,18.36199175820814
26900000.0,Ready to move,1600,16862,3 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,3,Floor,17.10763688174679
36900000.0,Ready to move,1829,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,17.423722136111028
9278000.0,Under Construction,1450,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment,16.04315667207567
14500000.0,Resale,972,15000,Residential Plot in M2K Olive Greens,Sector 104,Approved by RERA,2,Plot,16.489659276356317
33300000.0,Under Construction,1665,20000,3 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,3,Apartment,17.3210679849807
82000000.0,Under Construction,1988,41274,4 BHK Apartment in DLF The Grove,Sector 54,Approved by RERA,4,Apartment,18.22222981742365
24900000.000000004,Under Construction,2217,11231,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Approved by RERA,3,Apartment,17.030378401595577
28300000.0,Ready to move,1998,14184,4 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,4,Apartment,17.158372397949154
45500000.0,Under Construction,2077,21932,3 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,3,Apartment,17.6332229058992
30000000.0,Ready to move,2700,11111,4 BHK Independent Floor in Today Developer 1,DLF Phase 2,Not approved by RERA,4,Floor,17.216707972959764
7953000.0,Under Construction,1243,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment,15.88905989967798
28500000.0,Ready to move,2367,12040,3 BHK Independent Floor,Sector 28,Not approved by RERA,3,Plot,17.1654146803266
22000000.0,Ready to move,3192,6892,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment,16.906553056777135
4500000.0,Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,15.319588176962746
26000000.0,Ready to move,2875,9043,4 BHK Apartment in Indiabulls Centrum Park,Sector 103,Not approved by RERA,4,Apartment,17.073607134447293
9000000.0,Ready to move,1250,7200,3 BHK Independent Floor in BPTP Astaire Garden Plots,Sector 70A,Not approved by RERA,3,Floor,16.012735246411598
25000000.0,Under Construction,2080,12019,3 BHK Apartment in Adani Brahma Samsara Vilasa,Sector 63,Approved by RERA,3,Apartment,17.034386422832473
4000000.0,Ready to move,1000,4000,2 BHK Independent Floor in Signature Global Park III,Sector 36 Sohna,Not approved by RERA,2,Floor,15.201805169084134
27500000.0,Under Construction,1250,22000,1 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,1,Apartment,17.129696599000436
8525000.0,Ready to move,1550,5500,3 BHK Apartment in The Antriksh Heights,Sector 84,Not approved by RERA,3,Apartment,15.958513698435901
11000000.0,Ready to move,1400,7857,3 BHK Apartment in Rail vihar sector 57Gurgaon,Sector 57,Not approved by RERA,3,Apartment,16.213405921671733
74900000.0,Under Construction,4038,18558,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,18.131664461838582
2000000.0,Ready to move,240,8333,1 RK Studio Apartment in Unitech EWS Buildings,Sector 49,Not approved by RERA,1,Apartment,14.508658238524095
27000000.0,Ready to move,2650,10188,4 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,4,Floor,17.11134746100564
32700000.0,Ready to move,2045,15990,3 BHK Apartment in Ireo Skyon,Sector 60,Not approved by RERA,3,Apartment,17.30288566644852
12500000.0,Ready to move,2003,6287,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment,16.341239282272525
70300000.0,Under Construction,3125,22500,4 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,4,Apartment,18.068282371005644
700000000.0,Ready to move,9419,74323,5 BHK Apartment in DLF Camellias,Sector 42,Not approved by RERA,5,Apartment,20.36659089443625
42900000.0,Under Construction,2600,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment,17.57438240720827
7019000.0,Under Construction,1440,4878,3 BHK Apartment in Signature Global Global Park 2 And 3,Sector 36 Sohna,Approved by RERA,3,Apartment,15.764131458182986
79900000.0,Under Construction,3978,20110,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment,18.196286423252147
28500000.0,Under Construction,1855,15363,3 BHK Apartment in Godrej Meridien,Sector 106,Approved by RERA,3,Apartment,17.1654146803266
27500000.0,Ready to move,1700,16200,3 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,3,Apartment,17.129696599000436
96900000.0,Under Construction,5223,18558,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,18.38919008718091
19700000.0,Under Construction,1642,12000,3 BHK Apartment in M3M Antalya Hills ,Sector 79,Approved by RERA,3,Apartment,16.796129244469636
57200000.0,Ready to move,2750,20801,4 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,4,Apartment,17.862064473832543
