Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type
Under Construction,645,4077,3 BHK Apartment in Mahira Homes 95,Sector 95,Approved by RERA,3,Apartment
Ready to move,2120,5896,3 BHK Apartment in Bestech Park View Sanskruti,Sector 92,Not approved by RERA,3,Apartment
Ready to move,1735,8645,3 BHK Apartment in Vatika Gurgaon 21,Sector 83,Not approved by RERA,3,Apartment
Ready to move,4210,7814,4 BHK Apartment in Bestech Park View Grand Spa,Sector 81,Not approved by RERA,4,Apartment
Ready to move,2450,6489,3 BHK Apartment in Swaraj Homes Chandra Apartments,Sector 55,Not approved by RERA,3,Apartment
Under Construction,1211,7623,2 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,2,Apartment
Ready to move,1292,12222,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment
Ready to move,1263,12222,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment
Under Construction,2100,220000,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment
Under Construction,3680,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment
Under Construction,2004,9586,3 BHK Apartment in Godrej Prive,Sector 106,Approved by RERA,3,Apartment
Under Construction,3800,19736,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment
Ready to move,2864,21500,4 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,4,Apartment
Ready to move,1700,8529,3 BHK Independent Floor,Sector 46,Not approved by RERA,3,Plot
Under Construction,2745,17486,4 BHK Independent Floor in Emaar Emerald Hill,Sector 65,Approved by RERA,4,Floor
Ready to move,1632,21000,2 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,2,Apartment
Ready to move,1271,12195,3 BHK Independent Floor in Vatika Primrose Floors,Sector 82,Not approved by RERA,3,Floor
Ready to move,3112,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
New,1259,14204,Residential Plot in BPTP District 6 Block L,Sector 84,Approved by RERA,6,Plot
Under Construction,1365,8424,2 BHK Apartment in Assotech Blith,Sector 99,Approved by RERA,2,Apartment
Under Construction,508,4098,2 BHK Apartment in Mahira Homes 95,Sector 95,Approved by RERA,2,Apartment
Ready to move,1877,14184,3 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,3,Apartment
Ready to move,3114,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Under Construction,642,4004,3 BHK Apartment in Mahira Homes,Sector 68,Approved by RERA,3,Apartment
Ready to move,2598,10775,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment
Ready to move,2000,17800,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment
Ready to move,4500,11666,4 BHK Independent Floor in LUXURY floorsss,DLF CITY PHASE I,Not approved by RERA,4,Floor
Under Construction,9838,11000,5 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,5,Apartment
Under Construction,1145,14000,2 BHK Apartment in Signature Global City 92 Phase 2,Sector 92,Approved by RERA,2,Apartment
Under Construction,1371,33406,4 BHK Apartment in DLF Independent Floors At Dlf City Phase III,DLF Phase 3,Approved by RERA,4,Apartment
Ready to move,1200,4000,3 BHK Independent Floor,Sector 5,Not approved by RERA,3,Plot
Ready to move,1565,6070,2 BHK Apartment in Bestech Park View Residency,Sector 3,Not approved by RERA,2,Apartment
Ready to move,1410,14184,2 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,2,Apartment
Under Construction,2250,25725,3 BHK Apartment in Birla Navya Avik Phase 1,Sector 63A,Approved by RERA,3,Apartment
Ready to move,2000,11500,3 BHK Apartment in Bargainer Ultra Premium Floors,DLF Phase 2,Not approved by RERA,3,Apartment
Ready to move,3154,17500,4 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,4,Apartment
Under Construction,2553,11250,4 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,4,Apartment
Under Construction,3100,13709,4 BHK Independent Floor in Reputed Builder Emerald Hills Ivory,Sector 65,Not approved by RERA,4,Floor
Ready to move,4500,13333,4 BHK Independent Floor in Today Developer 6,DLF Phase 2,Not approved by RERA,4,Floor
Ready to move,4613,22000,4 BHK Apartment in Pioneer Araya,Sector 62,Not approved by RERA,4,Apartment
Ready to move,850,4706,2 BHK Apartment in Krishna Homes,Sector 4,Not approved by RERA,2,Apartment
Under Construction,4503,42735,5 BHK Apartment in Tulip Monsella,Sector 53,Approved by RERA,5,Apartment
Under Construction,3360,13650,4 BHK Apartment in Vatika Sovereign Park,Sector 99,Approved by RERA,4,Apartment
Under Construction,2766,18558,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment
Under Construction,1262,11886,3 BHK Apartment in Ashiana Anmol Phase III And Plaza Ph II,Sector 33 Sohna,Approved by RERA,3,Apartment
Ready to move,2250,14000,6 BHK Villa in BPTP Astaire Garden Floors,Sector 70A,Not approved by RERA,6,Villa
Ready to move,2408,10900,3 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,3,Apartment
Under Construction,2283,16500,5 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,5,Apartment
Under Construction,1605,9700,2 BHK Apartment in Vatika Vatika Seven Elements,Sector 89A,Approved by RERA,2,Apartment
Ready to move,2100,17000,3 BHK Apartment in Puri Diplomatic Residences,Sector 111,Not approved by RERA,3,Apartment
Under Construction,4422,11000,4 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,4,Apartment
Ready to move,1998,14184,4 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,4,Apartment
Under Construction,1352,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment
Under Construction,745,3524,3 BHK Apartment in Pyramid Urban Homes 2,Sector 86,Approved by RERA,3,Apartment
Under Construction,1269,6200,2 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,Approved by RERA,2,Apartment
Ready to move,2875,12173,4 BHK Apartment in Conscient Heritage Max,Sector 102,Not approved by RERA,4,Apartment
Under Construction,554,3689,2 BHK Apartment in Breez Global Hill View,Sector 11 Sohna,Approved by RERA,2,Apartment
Ready to move,2065,4358,6 BHK Independent House,Sector 3A,Not approved by RERA,6,Plot
Ready to move,1381,19913,2 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,2,Apartment
Ready to move,1262,10221,3 BHK Apartment in Ashiana Anmol,Sector 33 Sohna,Not approved by RERA,3,Apartment
Under Construction,2260,15000,3 BHK Apartment in M3M Golf Hills,Sector 79,Approved by RERA,3,Apartment
Under Construction,586,4000,2 BHK Apartment in Signature Global The Millennia I,Sector 37D,Approved by RERA,2,Apartment
Under Construction,3400,10588,4 BHK Independent Floor in Anant Raj Estate Plots,Sector 63,Approved by RERA,4,Floor
Ready to move,3322,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment
Ready to move,2300,15217,4 BHK Apartment in Unitown Trehan Luxury Floor 63,Sector 63,Not approved by RERA,4,Apartment
Ready to move,2103,14139,3 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,3,Apartment
Ready to move,1600,16862,3 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,3,Floor
Ready to move,2512,14000,3 BHK Independent Floor in BPTP Astaire Garden Floors,Sector 70A,Not approved by RERA,3,Floor
Ready to move,3520,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment
Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,3,Apartment
Under Construction,3150,7936,4 BHK Apartment in Dharma Constructions 67,Sector 67,Approved by RERA,4,Apartment
Ready to move,2700,6111,3 BHK Apartment in Spaze Privvy The Address,Sector 93,Not approved by RERA,3,Apartment
Under Construction,3577,18000,4 BHK Apartment in DLF Privana,Sector 77,Approved by RERA,4,Apartment
Ready to move,1108,20801,3 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,3,Apartment
Ready to move,1000,3200,1 BHK Apartment in DLF Beverly Park,Sector 25,Not approved by RERA,1,Apartment
Ready to move,3395,16500,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment
Under Construction,2937,14027,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment
Ready to move,2722,13776,4 BHK Independent Floor,Sector 54,Not approved by RERA,4,Plot
Under Construction,1335,9479,3 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,3,Apartment
Under Construction,1371,15576,3 BHK Apartment in Whiteland Blissville,Sector 76,Approved by RERA,3,Apartment
Ready to move,3449,10900,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,3395,20029,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment
Under Construction,3890,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment
Ready to move,2450,8571,4 BHK Apartment in 4S Aradhya Homes Apartment,Sector 67,Not approved by RERA,4,Apartment
Under Construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment
Under Construction,1720,5930,3 BHK Apartment in Ramprastha Primera,Sector 37D,Approved by RERA,3,Apartment
Under Construction,1440,7600,3 BHK Apartment in Signature Global City 37D,Sector 37D,Approved by RERA,3,Apartment
Ready to move,2225,7640,4 BHK Apartment in DLF Regal Gardens,Sector 90,Not approved by RERA,4,Apartment
Ready to move,1699,10774,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment
Ready to move,1800,14444,3 BHK Independent Floor in Anant Raj The Estate Floors,Sector 63,Not approved by RERA,3,Floor
Ready to move,2688,25000,4 BHK Apartment in Sweta Estates Central Park Phase 1,Atta,Not approved by RERA,4,Apartment
Ready to move,2279,11500,3 BHK Apartment in Pioneer Presidia,Sector 62,Not approved by RERA,3,Apartment
Ready to move,1960,29941,3 BHK Apartment in Central Park Resorts,Sector 48,Not approved by RERA,3,Apartment
Under Construction,3505,19230,4 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,4,Apartment
Ready to move,2343,12419,3 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,3,Apartment
Ready to move,2217,21216,3 BHK Apartment in TATA TATA La Vida,Sector 113,Not approved by RERA,3,Apartment
Ready to move,2370,37977,2 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,2,Apartment
Under Construction,2597,20265,4 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,4,Apartment
Ready to move,2965,15514,4 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,4,Apartment
Under Construction,2170,13956,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment
Ready to move,1750,12000,3 BHK Apartment in ATS Tourmaline,Sector 109,Not approved by RERA,3,Apartment
Under Construction,696,3567,2 BHK Apartment in Arete Our Homes 3,Sector 6 Sohna,Approved by RERA,2,Apartment
Under Construction,2400,13000,3 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,3,Apartment
Ready to move,2700,12962,4 BHK Apartment in Ansal Sushant Lok I,Sector 43,Not approved by RERA,4,Apartment
Under Construction,1704,11737,3 BHK Apartment in Tulip Yellow,Sector 69,Approved by RERA,3,Apartment
Ready to move,3500,17085,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,6450,22000,5 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,5,Apartment
Ready to move,2285,13566,3 BHK Apartment in Microtek Greenburg,Sector 86,Not approved by RERA,3,Apartment
Ready to move,9198,15220,5 BHK Independent House in Kothi,DLF Phase 3,Not approved by RERA,5,House
Under Construction,1205,18257,3 BHK Apartment in Ashiana Amarah,Sector 93,Approved by RERA,3,Apartment
Ready to move,3850,15000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,1682,20005,3 BHK Apartment in DLF Wellington Estate,Sector 53,Not approved by RERA,3,Apartment
Under Construction,765,8104,2 BHK Independent House,Sector 104,Not approved by RERA,2,Plot
Ready to move,3110,23000,4 BHK Apartment in Vipul Belmonte,Sector 53,Not approved by RERA,4,Apartment
Under Construction,1400,12857,2 BHK Apartment in Godrej Air,Sector 85,Approved by RERA,2,Apartment
Under Construction,3762,16151,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment
Ready to move,1811,9939,3 BHK Apartment in BPTP Park Generation,Sector 37D,Not approved by RERA,3,Apartment
Ready to move,2100,9485,4 BHK Independent Floor in CS Roseate 63,Sector 63,Not approved by RERA,4,Floor
Under Construction,2600,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment
Ready to move,3129,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,5036,22234,5 BHK Villa in Sobha International City Presidential Villa,Sector 109,Not approved by RERA,5,Villa
Ready to move,2003,7488,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment
Under Construction,1929,6894,3 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Approved by RERA,3,Apartment
Ready to move,2700,8518,4 BHK Independent Floor in GC Ultra Modern Luxurious Floor,Sector 56,Not approved by RERA,4,Floor
Ready to move,1711,20455,3 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,3,Apartment
Ready to move,5100,10900,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment
Ready to move,1390,20200,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment
Ready to move,6450,10900,5 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,5,Apartment
Ready to move,3090,18500,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Not approved by RERA,3,Apartment
Under Construction,5082,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment
Ready to move,1600,16862,3 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,3,Floor
Ready to move,1829,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment
Under Construction,1450,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment
Resale,972,15000,Residential Plot in M2K Olive Greens,Sector 104,Approved by RERA,2,Plot
Under Construction,1665,20000,3 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,3,Apartment
Under Construction,1988,41274,4 BHK Apartment in DLF The Grove,Sector 54,Approved by RERA,4,Apartment
Under Construction,2217,11231,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Approved by RERA,3,Apartment
Ready to move,1998,14184,4 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,4,Apartment
Under Construction,2077,21932,3 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,3,Apartment
Ready to move,2700,11111,4 BHK Independent Floor in Today Developer 1,DLF Phase 2,Not approved by RERA,4,Floor
Under Construction,1243,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment
Ready to move,2367,12040,3 BHK Independent Floor,Sector 28,Not approved by RERA,3,Plot
Ready to move,3192,6892,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot
Ready to move,2875,9043,4 BHK Apartment in Indiabulls Centrum Park,Sector 103,Not approved by RERA,4,Apartment
Ready to move,1250,7200,3 BHK Independent Floor in BPTP Astaire Garden Plots,Sector 70A,Not approved by RERA,3,Floor
Under Construction,2080,12019,3 BHK Apartment in Adani Brahma Samsara Vilasa,Sector 63,Approved by RERA,3,Apartment
Ready to move,1000,4000,2 BHK Independent Floor in Signature Global Park III,Sector 36 Sohna,Not approved by RERA,2,Floor
Under Construction,1250,22000,1 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,1,Apartment
Ready to move,1550,5500,3 BHK Apartment in The Antriksh Heights,Sector 84,Not approved by RERA,3,Apartment
Ready to move,1400,7857,3 BHK Apartment in Rail vihar sector 57Gurgaon,Sector 57,Not approved by RERA,3,Apartment
Under Construction,4038,18558,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment
Ready to move,240,8333,1 RK Studio Apartment in Unitech EWS Buildings,Sector 49,Not approved by RERA,1,Apartment
Ready to move,2650,10188,4 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,4,Floor
Ready to move,2045,15990,3 BHK Apartment in Ireo Skyon,Sector 60,Not approved by RERA,3,Apartment
Ready to move,2003,6287,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment
Under Construction,3125,22500,4 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,4,Apartment
Ready to move,9419,74323,5 BHK Apartment in DLF Camellias,Sector 42,Not approved by RERA,5,Apartment
Under Construction,2600,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment
Under Construction,1440,4878,3 BHK Apartment in Signature Global Global Park 2 And 3,Sector 36 Sohna,Approved by RERA,3,Apartment
Under Construction,3978,20110,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment
Under Construction,1855,15363,3 BHK Apartment in Godrej Meridien,Sector 106,Approved by RERA,3,Apartment
Ready to move,1700,16200,3 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,3,Apartment
Under Construction,5223,18558,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment
Under Construction,1642,12000,3 BHK Apartment in M3M Antalya Hills,Sector 79,Approved by RERA,3,Apartment
Ready to move,2750,20801,4 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,4,Apartment
Ready to move,4347,8051,5 BHK Independent House,Sector 57,Not approved by RERA,5,Plot
Under Construction,1150,12173,3 BHK Independent House,Sector 48,Not approved by RERA,3,Plot
Ready to move,903,8922,2 BHK Independent Floor in Vatika Emilia Floors,Sector 82,Not approved by RERA,2,Floor
Ready to move,2300,8695,3 BHK Independent Floor in Reputed Builder HUDA Colony,Sector 46,Not approved by RERA,3,Floor
Under Construction,2945,22500,4 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,4,Apartment
Ready to move,1270,10000,2 BHK Apartment in M3M Flora 68,Sector 68,Not approved by RERA,2,Apartment
Ready to move,1600,9700,3 BHK Apartment in Vatika Primrose Floors,Sector 82,Not approved by RERA,3,Apartment
Ready to move,2000,6750,3 BHK Independent Floor,Sector 57,Not approved by RERA,3,Plot
Ready to move,1990,3075,3 BHK Apartment in Raheja Navodaya,Sector 92,Not approved by RERA,3,Apartment
Under Construction,1420,14750,2 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,2,Apartment
Ready to move,1600,7500,3 BHK Independent Floor,Sector 46,Not approved by RERA,3,Plot
Ready to move,865,9320,2 BHK Apartment in Pareena Mi Casa,Sector 68,Not approved by RERA,2,Apartment
Ready to move,2985,15000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,6171,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment
Under Construction,2900,20000,4 BHK Apartment in DLF Platinum Residences,DLF Phase 4,Approved by RERA,4,Apartment
Under Construction,1205,9130,3 BHK Apartment in Signature Global City 81 Phase 2,Sector 81,Approved by RERA,3,Apartment
Ready to move,2531,15000,3 BHK Apartment in Unitech The Close South,Sector 50,Not approved by RERA,3,Apartment
Under Construction,2510,21000,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment
Under Construction,1855,10512,3 BHK Apartment in Godrej Meridien,Sector 106,Approved by RERA,3,Apartment
Ready to move,3505,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,2200,11136,4 BHK Apartment in 4S 4S Aradhya Homes,Sector 67,Not approved by RERA,4,Apartment
Ready to move,1945,5912,3 BHK Apartment in Supertech Araville,Sector 79,Not approved by RERA,3,Apartment
Ready to move,450,4222,1 BHK Apartment in Pivotal Devaan,Sector 84,Not approved by RERA,1,Apartment
Under Construction,2180,6251,4 BHK Apartment in Shapoorji Pallonji Joyville Tower Crown,Sector 102,Approved by RERA,4,Apartment
Ready to move,3452,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,1819,11269,3 BHK Independent Floor,Sector 46,Not approved by RERA,3,Plot
Ready to move,2300,23554,3 BHK Apartment in Signature Global City 37D,Sector 37D,Not approved by RERA,3,Apartment
Under Construction,1778,8436,3 BHK Apartment in Godrej Prive,Sector 106,Approved by RERA,3,Apartment
Ready to move,9020,16882,5 BHK Villa in Experion The Westerlies,Sector 108,Not approved by RERA,5,Villa
Ready to move,1292,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment
Ready to move,5210,15000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment
Under Construction,1213,15664,2 BHK Apartment in M3M Antalya Hills,Sector 79,Approved by RERA,2,Apartment
Ready to move,4525,8500,4 BHK Apartment in Experion Windchants,Sector 112,Not approved by RERA,4,Apartment
Ready to move,4320,11574,4 BHK Independent Floor in Today Developer 4,DLF Phase 4,Not approved by RERA,4,Floor
Under Construction,2538,7706,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,1582,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment
Under Construction,2042,32713,4 BHK Apartment in Anant Raj The Estate Residences,Sector 63A,Approved by RERA,4,Apartment
Ready to move,3709,11950,3 BHK Apartment in M3M Panorama Suites,Sector 65,Not approved by RERA,3,Apartment
Ready to move,2004,22106,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment
Ready to move,7430,74324,4 BHK Apartment in DLF Camellias,Sector 42,Not approved by RERA,4,Apartment
Ready to move,3762,11297,4 BHK Independent Floor,Sushant Lok,Not approved by RERA,4,Plot
Ready to move,1250,7200,3 BHK Independent Floor in BPTP Astaire Garden Plots,Sector 70A,Not approved by RERA,3,Floor
Ready to move,1600,12500,3 BHK Independent Floor,Sector 45,Not approved by RERA,3,Plot
Ready to move,2366,6500,3 BHK Apartment in Godrej 101,Sector 79,Not approved by RERA,3,Apartment
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot
Ready to move,2107,16500,3 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,3,Apartment
Ready to move,1100,4090,3 BHK Independent Floor,Ashok Vihar Phase II,Not approved by RERA,3,Plot
Under Construction,2073,8636,3 BHK Apartment in Sobha City,Sector 108,Approved by RERA,3,Apartment
Ready to move,1000,5600,3 BHK Apartment,Sector 12 A,Not approved by RERA,3,Plot
Under Construction,1751,37407,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment
Ready to move,2779,6327,4 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,4,Apartment
Ready to move,1260,8000,2 BHK Apartment in M3M Marina,Sector 68,Not approved by RERA,2,Apartment
Under Construction,1000,10010,3 BHK Apartment in Ashiana Amarah,Sector 93,Approved by RERA,3,Apartment
Under Construction,1182,15656,1 BHK Apartment in Krisumi Waterfall Suites,Sector 36A,Approved by RERA,1,Apartment
Ready to move,3844,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
