Price,Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type,Log_Price,predicted_price
325600000.0,Ready to move,6521,49937,5 BHK Villa in B kumar and brothers the passion group,DLF Phase 4,Not approved by RERA,5,Villa,19.601180195163913,272199601.21445554
102800000.0,Ready to move,6051,17000,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment,18.448295920712965,102734512.60805616
88000000.0,Ready to move,6775,13000,5 BHK Apartment in Tata Raisina Residency,Sector 59,Not approved by RERA,5,Apartment,18.292847383806116,87805426.89338844
36400000.0,Under Construction,2800,13000,4 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,4,Apartment,17.410079360079497,36400000.000001304
31600000.0,Ready to move,1433,22120,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment,17.26866771020271,31590734.859669387
31000000.0,Under Construction,2770,11191,3 BHK Apartment in Vatika Sovereign,Sector 56,Approved by RERA,3,Apartment,17.249497794707484,31067243.30101827
33600000.0,Ready to move,2407,14000,4 BHK Apartment in Central Park Aqua Front Towers,Sector 33 Sohna,Not approved by RERA,4,Apartment,17.330036654695338,33591426.545635454
22200000.000000004,Ready to move,2285,9715,3 BHK Apartment in Microtek Greenburg,Sector 86,Not approved by RERA,3,Apartment,16.915602891887552,22114214.276907958
12000000.0,Ready to move,900,13333,3 BHK Independent House,Sector 110,Not approved by RERA,3,Plot,16.300417291085605,11848593.845146114
21800000.0,Ready to move,2535,8614,3 BHK Apartment in Tata Gurgaon Gateway,Sector 112,Not approved by RERA,3,Apartment,16.897420573630875,22323678.31401082
274900000.0,Ready to move,5825,47202,4 BHK Apartment in DLF The Aralias,Sector 42,Not approved by RERA,4,Apartment,19.43191795677316,275777734.2843963
56000000.0,Ready to move,3160,17721,4 BHK Apartment in ABW La Lagune,Sector 54,Not approved by RERA,4,Apartment,17.840862266556567,56337253.019551486
15500000.0,Ready to move,1800,8611,3 BHK Apartment in Investors Guide Floor 9,Sector 57,Not approved by RERA,3,Apartment,16.5563506464056,15502479.470146485
27900000.0,Under Construction,1692,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment,17.14413728263389,27900000.000000034
29300000.0,Under Construction,2600,11269,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment,17.19309810811699,29313545.658551306
2630000.0,Under Construction,645,4077,3 BHK Apartment in Mahira Homes 95,Sector 95,Approved by RERA,3,Apartment,14.782494784382012,2629379.283223497
12500000.0,Ready to move,2120,5896,3 BHK Apartment in Bestech Park View Sanskruti,Sector 92,Not approved by RERA,3,Apartment,16.341239282272525,12500992.123692622
15000000.0,Ready to move,1735,8645,3 BHK Apartment in Vatika Gurgaon 21,Sector 83,Not approved by RERA,3,Apartment,16.52356082573315,14988908.182465162
32900000.0,Ready to move,4210,7814,4 BHK Apartment in Bestech Park View Grand Spa,Sector 81,Not approved by RERA,4,Apartment,17.308983246130737,33093982.779917255
15800000.0,Ready to move,2450,6489,3 BHK Apartment in Swaraj Homes Chandra Apartments,Sector 55,Not approved by RERA,3,Apartment,16.575520561288332,15832456.938662115
9231000.0,Under Construction,1211,7623,2 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,2,Apartment,16.038078051302907,9249408.309090052
15700000.0,Ready to move,1292,12222,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,16.5691713340128,15707402.320726976
15400000.0,Ready to move,1263,12222,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment,16.54987813231892,15399459.153386496
462000000.0,Under Construction,2100,220000,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment,19.951075451210514,461955577.68978035
68200000.0,Under Construction,3680,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,18.037955137476448,68199999.99999644
22599999.999999996,Under Construction,2004,9586,3 BHK Apartment in Godrej Prive,Sector 106,Approved by RERA,3,Apartment,16.933460508490302,21330948.03236808
74900000.0,Under Construction,3800,19736,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment,18.131664461838582,74911394.63503419
61500000.0,Ready to move,2864,21500,4 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,4,Apartment,17.93454774903691,61417741.10466483
14500000.0,Ready to move,1700,8529,3 BHK Independent Floor,Sector 46,Not approved by RERA,3,Plot,16.489659276356317,14758823.942201527
48000000.0,Under Construction,2745,17486,4 BHK Independent Floor in Emaar Emerald Hill,Sector 65,Approved by RERA,4,Floor,17.6867115897055,47995960.458677694
34200000.0,Ready to move,1632,21000,2 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,2,Apartment,17.3477362312726,34199999.99999743
15500000.0,Ready to move,1271,12195,3 BHK Independent Floor in Vatika Primrose Floors,Sector 82,Not approved by RERA,3,Floor,16.5563506464056,15472537.46266306
68400000.0,Ready to move,3112,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,18.04088339721266,68404996.53107765
17800000.0,New,1259,14204,Residential Plot in BPTP District 6 Block L,Sector 84,Approved by RERA,6,Plot,16.694709071442087,17752823.601074066
11500000.0,Under Construction,1365,8424,2 BHK Apartment in Assotech Blith,Sector 99,Approved by RERA,2,Apartment,16.257857680289998,11468223.10968655
2082000.0,Under Construction,508,4098,2 BHK Apartment in Mahira Homes 95,Sector 95,Approved by RERA,2,Apartment,14.548840008464332,2081616.4818087956
26600000.0,Ready to move,1877,14184,3 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,3,Apartment,17.096421811345913,26599999.999998983
68500000.0,Ready to move,3114,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,18.042344317830995,68485490.94255626
2566000.0,Under Construction,642,4004,3 BHK Apartment in Mahira Homes,Sector 68,Approved by RERA,3,Apartment,14.757859213869256,2568170.183969307
27900000.0,Ready to move,2598,10775,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment,17.14413728263389,27983236.271313325
35600000.0,Ready to move,2000,17800,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment,17.387856223912145,35597994.41738658
52500000.0,Ready to move,4500,11666,4 BHK Independent Floor in LUXURY floorsss,DLF CITY PHASE I,Not approved by RERA,4,Floor,17.77632374660947,52505821.00113991
108200000.0,Under Construction,9838,11000,5 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,5,Apartment,18.4994919336188,98572887.70949045
16000000.0,Under Construction,1145,14000,2 BHK Apartment in Signature Global City 92 Phase 2,Sector 92,Approved by RERA,2,Apartment,16.588099342704055,16167340.946569776
45800000.0,Under Construction,1371,33406,4 BHK Apartment in DLF Independent Floors At Dlf City Phase III,DLF Phase 3,Approved by RERA,4,Apartment,17.639794670918473,45768197.43355713
4800000.0,Ready to move,1200,4000,3 BHK Independent Floor,Sector 5,Not approved by RERA,3,Plot,15.38412668421143,4799999.999999974
9500000.0,Ready to move,1565,6070,2 BHK Apartment in Bestech Park View Residency,Sector 3,Not approved by RERA,2,Apartment,16.066802461833923,9456982.91618721
19900000.0,Ready to move,1410,14184,2 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,2,Apartment,16.806230339945976,19900000.000001214
57800000.0,Under Construction,2250,25725,3 BHK Apartment in Birla Navya Avik Phase 1,Sector 63A,Approved by RERA,3,Apartment,17.872499350943645,58854898.46348641
23000000.0,Ready to move,2000,11500,3 BHK Apartment in Bargainer Ultra Premium Floors,DLF Phase 2,Not approved by RERA,3,Apartment,16.951004817371683,22961434.58700839
55100000.0,Ready to move,3154,17500,4 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,4,Apartment,17.824660292271965,55070249.07937219
28700000.0,Under Construction,2553,11250,4 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,4,Apartment,17.172407715573055,28700000.000000417
42500000.0,Under Construction,3100,13709,4 BHK Independent Floor in Reputed Builder Emerald Hills Ivory,Sector 65,Not approved by RERA,4,Floor,17.565014657424058,42659735.5860726
60000000.0,Ready to move,4500,13333,4 BHK Independent Floor in Today Developer 6,DLF Phase 2,Not approved by RERA,4,Floor,17.909855136853043,59920840.65600015
101400000.0,Ready to move,4613,22000,4 BHK Apartment in Pioneer Araya,Sector 62,Not approved by RERA,4,Apartment,18.43458365898329,101391234.97485311
4000000.0,Ready to move,850,4706,2 BHK Apartment in Krishna Homes,Sector 4,Not approved by RERA,2,Apartment,15.201805169084134,3891550.5280338046
192399999.99999997,Under Construction,4503,42735,5 BHK Apartment in Tulip Monsella,Sector 53,Approved by RERA,5,Apartment,19.075087101393382,192399999.9999967
45800000.0,Under Construction,3360,13650,4 BHK Apartment in Vatika Sovereign Park,Sector 99,Approved by RERA,4,Apartment,17.639794670918473,45573699.51532425
51300000.0,Under Construction,2766,18558,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment,17.753201329634177,51299999.999996066
15000000.0,Under Construction,1262,11886,3 BHK Apartment in Ashiana Anmol Phase III And Plaza Ph II,Sector 33 Sohna,Approved by RERA,3,Apartment,16.52356082573315,14996454.454499755
31500000.0,Ready to move,2250,14000,6 BHK Villa in BPTP Astaire Garden Floors,Sector 70A,Not approved by RERA,6,Villa,17.265498135541893,31546207.249418974
26200000.0,Ready to move,2408,10900,3 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,3,Apartment,17.081270006899263,26233996.27979007
37600000.0,Under Construction,2283,16500,5 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,5,Apartment,17.442514634955867,37599999.99999917
15500000.0,Under Construction,1605,9700,2 BHK Apartment in Vatika Vatika Seven Elements,Sector 89A,Approved by RERA,2,Apartment,16.5563506464056,15499999.999999491
35700000.0,Ready to move,2100,17000,3 BHK Apartment in Puri Diplomatic Residences,Sector 111,Not approved by RERA,3,Apartment,17.390661274761072,35408781.6709445
48600000.0,Under Construction,4422,11000,4 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,4,Apartment,17.699134109446852,49308070.23214197
28300000.0,Ready to move,1998,14184,4 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,4,Apartment,17.158372397949154,28300996.500536226
22300000.0,Under Construction,1352,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment,16.920097281273396,22299999.99999874
2626000.0,Under Construction,745,3524,3 BHK Apartment in Pyramid Urban Homes 2,Sector 86,Approved by RERA,3,Apartment,14.780972714652115,2631509.6165940566
7867000.0,Under Construction,1269,6200,2 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,Approved by RERA,2,Apartment,15.878187480424629,7871040.572287916
35000000.0,Ready to move,2875,12173,4 BHK Apartment in Conscient Heritage Max,Sector 102,Not approved by RERA,4,Apartment,17.370858648025116,34994837.61432713
2044000.0,Under Construction,554,3689,2 BHK Apartment in Breez Global Hill View,Sector 11 Sohna,Approved by RERA,2,Apartment,14.530419719542405,2086545.6401541424
9000000.0,Ready to move,2065,4358,6 BHK Independent House,Sector 3A,Not approved by RERA,6,Plot,16.012735246411598,8766902.220545296
27500000.0,Ready to move,1381,19913,2 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,2,Apartment,17.129696599000436,27500000.000000406
12900000.0,Ready to move,1262,10221,3 BHK Apartment in Ashiana Anmol,Sector 33 Sohna,Not approved by RERA,3,Apartment,16.372737946851277,12832015.336305814
33900000.0,Under Construction,2260,15000,3 BHK Apartment in M3M Golf Hills,Sector 79,Approved by RERA,3,Apartment,17.338925601849205,33905592.14365058
2344000.0,Under Construction,586,4000,2 BHK Apartment in Signature Global The Millennia I,Sector 37D,Approved by RERA,2,Apartment,14.667369856300107,2355522.388267878
36000000.0,Under Construction,3400,10588,4 BHK Independent Floor in Anant Raj Estate Plots,Sector 63,Approved by RERA,4,Floor,17.399029524198163,35999339.35267969
53099999.99999999,Ready to move,3322,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,17.78768750504456,53100998.1308588
35000000.0,Ready to move,2300,15217,4 BHK Apartment in Unitown Trehan Luxury Floor 63,Sector 63,Not approved by RERA,4,Apartment,17.370858648025116,34988943.91686671
29700000.000000004,Ready to move,2103,14139,3 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,3,Apartment,17.206657637442962,29773923.5864966
26900000.0,Ready to move,1600,16862,3 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,3,Floor,17.10763688174679,26956406.95370019
35100000.0,Ready to move,2512,14000,3 BHK Independent Floor in BPTP Astaire Garden Floors,Sector 70A,Not approved by RERA,3,Floor,17.373711716926124,35044113.20526569
56300000.0,Ready to move,3520,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,17.846205110871907,56282859.61445475
28000000.0,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,3,Apartment,17.147715103853763,28000000.000000887
25000000.0,Under Construction,3150,7936,4 BHK Apartment in Dharma Constructions 67,Sector 67,Approved by RERA,4,Apartment,17.034386422832473,24973199.16148747
16500000.0,Ready to move,2700,6111,3 BHK Apartment in Spaze Privvy The Address,Sector 93,Not approved by RERA,3,Apartment,16.61887099947687,16378353.58762479
64300000.0,Under Construction,3577,18000,4 BHK Apartment in DLF Privana,Sector 77,Approved by RERA,4,Apartment,17.979070204759946,64299999.9999965
23000000.0,Ready to move,1108,20801,3 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,3,Apartment,16.951004817371683,22994150.825696748
3200000.0,Ready to move,1000,3200,1 BHK Apartment in DLF Beverly Park,Sector 25,Not approved by RERA,1,Apartment,14.978661680269909,3043705.8003900275
56000000.0,Ready to move,3395,16500,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment,17.840862266556567,56019904.08030274
41200000.0,Under Construction,2937,14027,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,17.5339488385916,41533308.79428981
37500000.0,Ready to move,2722,13776,4 BHK Independent Floor,Sector 54,Not approved by RERA,4,Plot,17.439851517607305,37479836.64881031
12600000.0,Under Construction,1335,9479,3 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,3,Apartment,16.349207451286784,12599960.931553172
21300000.0,Under Construction,1371,15576,3 BHK Apartment in Whiteland Blissville,Sector 76,Approved by RERA,3,Apartment,16.87421767762801,21249993.422312226
37500000.0,Ready to move,3449,10900,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,17.439851517607305,37525818.28582891
68000000.0,Ready to move,3395,20029,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment,18.035018277846262,67955715.82191467
72100000.0,Under Construction,3890,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,18.0935646161248,72099999.99999453
21000000.0,Ready to move,2450,8571,4 BHK Apartment in 4S Aradhya Homes Apartment,Sector 67,Not approved by RERA,4,Apartment,16.860033043306743,21145241.87982484
55000000.0,Under Construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment,17.822843761378564,54999999.99999715
10200000.0,Under Construction,1720,5930,3 BHK Apartment in Ramprastha Primera,Sector 37D,Approved by RERA,3,Apartment,16.13789837629371,10960897.914553253
10900000.0,Under Construction,1440,7600,3 BHK Apartment in Signature Global City 37D,Sector 37D,Approved by RERA,3,Apartment,16.204273438942487,10903350.621140836
17000000.0,Ready to move,2225,7640,4 BHK Apartment in DLF Regal Gardens,Sector 90,Not approved by RERA,4,Apartment,16.648723960844016,16963597.857769936
18300000.0,Ready to move,1699,10774,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment,16.722411672456456,18295488.216215346
26000000.0,Ready to move,1800,14444,3 BHK Independent Floor in Anant Raj The Estate Floors,Sector 63,Not approved by RERA,3,Floor,17.073607134447293,25937310.03455697
67200000.0,Ready to move,2688,25000,4 BHK Apartment in Sweta Estates Central Park Phase 1,Atta,Not approved by RERA,4,Apartment,18.02318382037433,66262514.24689112
26200000.0,Ready to move,2279,11500,3 BHK Apartment in Pioneer Presidia,Sector 62,Not approved by RERA,3,Apartment,17.081270006899263,26058045.72035823
58600000.0,Ready to move,1960,29941,3 BHK Apartment in Central Park Resorts,Sector 48,Not approved by RERA,3,Apartment,17.886245271612086,58541583.62401897
67400000.0,Under Construction,3505,19230,4 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,4,Apartment,18.02615559071933,67400000.00000645
29100000.0,Ready to move,2343,12419,3 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,3,Apartment,17.186248766505983,28892034.45667908
47000000.0,Ready to move,2217,21216,3 BHK Apartment in TATA TATA La Vida,Sector 113,Not approved by RERA,3,Apartment,17.665658180950928,47038163.44715687
90000000.0,Ready to move,2370,37977,2 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,2,Apartment,18.31532023940565,89327668.90996486
52600000.0,Under Construction,2597,20265,4 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,4,Apartment,17.778226696719344,52599999.99999582
46000000.0,Ready to move,2965,15514,4 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,4,Apartment,17.6441519761925,45665988.74145813
30200000.0,Under Construction,2170,13956,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment,17.22335251545768,30056805.57893968
21000000.0,Ready to move,1750,12000,3 BHK Apartment in ATS Tourmaline,Sector 109,Not approved by RERA,3,Apartment,16.860033043306743,20943761.963549733
2482000.0,Under Construction,696,3567,2 BHK Apartment in Arete Our Homes 3,Sector 6 Sohna,Approved by RERA,2,Apartment,14.724575647647494,2481906.831673288
31200000.0,Under Construction,2400,13000,3 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,3,Apartment,17.25592868483099,31199999.999998294
35000000.0,Ready to move,2700,12962,4 BHK Apartment in Ansal Sushant Lok I,Sector 43,Not approved by RERA,4,Apartment,17.370858648025116,34906427.04675256
20000000.0,Under Construction,1704,11737,3 BHK Apartment in Tulip Yellow,Sector 69,Approved by RERA,3,Apartment,16.811242881518265,19994743.34237923
59800000.00000001,Ready to move,3500,17085,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,17.906516235643267,59679697.23052388
141900000.0,Ready to move,6450,22000,5 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,5,Apartment,18.77063314917749,141851785.09484476
31000000.0,Ready to move,2285,13566,3 BHK Apartment in Microtek Greenburg,Sector 86,Not approved by RERA,3,Apartment,17.249497794707484,30996727.457908243
140000000.0,Ready to move,9198,15220,5 BHK Independent House in Kothi,DLF Phase 3,Not approved by RERA,5,House,18.75715298771643,131273515.75078121
22000000.0,Under Construction,1205,18257,3 BHK Apartment in Ashiana Amarah,Sector 93,Approved by RERA,3,Apartment,16.906553056777135,21933542.3696164
57699999.99999999,Ready to move,3850,15000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,17.87076774880935,57650754.77323409
33600000.0,Ready to move,1682,20005,3 BHK Apartment in DLF Wellington Estate,Sector 53,Not approved by RERA,3,Apartment,17.330036654695338,33528116.992817365
6200000.0,Under Construction,765,8104,2 BHK Independent House,Sector 104,Not approved by RERA,2,Plot,15.64006001130563,6214648.011117971
71500000.0,Ready to move,3110,23000,4 BHK Apartment in Vipul Belmonte,Sector 53,Not approved by RERA,4,Apartment,18.08520802165025,71413193.4908415
18000000.0,Under Construction,1400,12857,2 BHK Apartment in Godrej Air,Sector 85,Approved by RERA,2,Apartment,16.705882371415992,17987741.633842044
60700000.0,Under Construction,3762,16151,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment,17.921454272504192,60699999.9999949
18000000.0,Ready to move,1811,9939,3 BHK Apartment in BPTP Park Generation,Sector 37D,Not approved by RERA,3,Apartment,16.705882371415992,18003014.84954005
19900000.0,Ready to move,2100,9485,4 BHK Independent Floor in CS Roseate 63,Sector 63,Not approved by RERA,4,Floor,16.806230339945976,20053723.154419433
42900000.0,Under Construction,2600,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment,17.57438240720827,42900000.00000124
68800000.0,Ready to move,3129,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,18.046714317438457,68989825.34155059
111900000.0,Ready to move,5036,22234,5 BHK Villa in Sobha International City Presidential Villa,Sector 109,Not approved by RERA,5,Villa,18.533116182218706,112289183.52905644
15000000.0,Ready to move,2003,7488,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment,16.52356082573315,14997488.461425396
13300000.0,Under Construction,1929,6894,3 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Approved by RERA,3,Apartment,16.40327466837995,13282283.680056639
23000000.0,Ready to move,2700,8518,4 BHK Independent Floor in GC Ultra Modern Luxurious Floor,Sector 56,Not approved by RERA,4,Floor,16.951004817371683,23112468.282509655
35000000.0,Ready to move,1711,20455,3 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,3,Apartment,17.370858648025116,35000000.000002004
55500000.0,Ready to move,5100,10900,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,17.83189359673468,55514929.81799631
28000000.0,Ready to move,1390,20200,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment,17.147715103853763,28000000.000000887
70300000.0,Ready to move,6450,10900,5 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,5,Apartment,18.068282371005644,70303434.50599825
57100000.0,Ready to move,3090,18500,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Not approved by RERA,3,Apartment,17.860314692139372,57093884.35538156
94300000.0,Under Construction,5082,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,18.36199175820814,94300000.00000383
26900000.0,Ready to move,1600,16862,3 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,3,Floor,17.10763688174679,26956406.95370019
36900000.0,Ready to move,1829,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,17.423722136111028,36899999.99999862
9278000.0,Under Construction,1450,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment,16.04315667207567,9276869.137583492
14500000.0,Resale,972,15000,Residential Plot in M2K Olive Greens,Sector 104,Approved by RERA,2,Plot,16.489659276356317,14489024.813553324
33300000.0,Under Construction,1665,20000,3 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,3,Apartment,17.3210679849807,33300000.000002094
82000000.0,Under Construction,1988,41274,4 BHK Apartment in DLF The Grove,Sector 54,Approved by RERA,4,Apartment,18.22222981742365,82000000.0000035
24900000.000000004,Under Construction,2217,11231,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Approved by RERA,3,Apartment,17.030378401595577,24885222.11977984
28300000.0,Ready to move,1998,14184,4 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,4,Apartment,17.158372397949154,28300996.500536226
45500000.0,Under Construction,2077,21932,3 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,3,Apartment,17.6332229058992,45500000.00000333
30000000.0,Ready to move,2700,11111,4 BHK Independent Floor in Today Developer 1,DLF Phase 2,Not approved by RERA,4,Floor,17.216707972959764,29999958.10753576
7953000.0,Under Construction,1243,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment,15.88905989967798,7953159.680573124
28500000.0,Ready to move,2367,12040,3 BHK Independent Floor,Sector 28,Not approved by RERA,3,Plot,17.1654146803266,28509125.07522051
22000000.0,Ready to move,3192,6892,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment,16.906553056777135,21826816.460123874
4500000.0,Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,15.319588176962746,4500000.000000258
26000000.0,Ready to move,2875,9043,4 BHK Apartment in Indiabulls Centrum Park,Sector 103,Not approved by RERA,4,Apartment,17.073607134447293,26001189.776610196
